dim,H,seed,Squared Error
64,4,3,0.5951915867626667
64,2,3,0.6609111968427896
64,1,3,0.748414721339941
32,16384,3,0.20322076184675097
32,8192,3,0.2300396882928908
32,4096,3,0.26902124704793096
32,2048,3,0.3364614825695753
32,1024,3,0.39792028069496155
32,512,3,0.4406824866309762
32,256,3,0.4711083881556988
32,128,3,0.4891838487237692
32,64,3,0.5012028096243739
32,32,3,0.5080992840230465
32,16,3,0.5270442124456167
32,8,3,0.5535741988569498
32,4,3,0.5935274008661509
32,2,3,0.6712171528488398
32,1,3,0.7632110267877579
16,16384,3,0.1793729574419558
16,8192,3,0.1856120270676911
16,4096,3,0.19802237208932638
16,2048,3,0.22188779758289456
16,1024,3,0.2636299063451588
16,512,3,0.33242059126496315
16,256,3,0.3893697839230299
16,128,3,0.4478381145745516
16,64,3,0.479036976583302
16,32,3,0.5027498165145516
16,16,3,0.5265202056616545
16,8,3,0.5391742754727602
16,4,3,0.5995542388409376
16,2,3,0.6891377586871386
16,1,3,0.7700660936534405
8,16384,3,0.15996341314166784
8,8192,3,0.16391092957928777
8,4096,3,0.16674252832308412
8,2048,3,0.17242492409422994
8,1024,3,0.1856801649555564
8,512,3,0.21108021261170506
8,256,3,0.25790855241939425
8,128,3,0.33941512648016214
8,64,3,0.4153292328119278
8,32,3,0.45878923311829567
8,16,3,0.4798011118546128
8,8,3,0.5137021485716105
8,4,3,0.6081529445946217
8,2,3,0.7219751048833132
8,1,3,0.7943841442465782
4,16384,3,0.08838693681173027
4,8192,3,0.09869566862471402
4,4096,3,0.11132112774066627
4,2048,3,0.12489455682225525
4,1024,3,0.1352774843107909
4,512,3,0.14509921055287123
4,256,3,0.15799965104088187
4,128,3,0.18407918186858296
4,64,3,0.23843868728727102
4,32,3,0.29293952230364084
4,16,3,0.3736773021519184
4,8,3,0.44074951484799385
4,4,3,0.6664945501834154
4,2,3,0.7008403316140175
4,1,3,0.8464984372258186
64,16384,4,0.2761265388689935
64,8192,4,0.3387596346437931
64,4096,4,0.3939738869667053
64,2048,4,0.4460618104785681
64,1024,4,0.46931153535842896
64,512,4,0.4828592585399747
64,256,4,0.4930517394095659
64,128,4,0.5026846351101995
64,64,4,0.5036892788484693
64,32,4,0.5147386267781258
64,16,4,0.5245646182447672
64,8,4,0.5521613657474518
64,4,4,0.5977902337908745
64,2,4,0.6595902740955353
64,1,4,0.7440149858593941
32,16384,4,0.20369127299636602
32,8192,4,0.22771071083843708
32,4096,4,0.2722100801765919
32,2048,4,0.3375672893598676
32,1024,4,0.39445838797837496
32,512,4,0.4489662377163768
32,256,4,0.4761100746691227
32,128,4,0.48976972233504057
32,64,4,0.4956027129665017
32,32,4,0.5073484983295202
32,16,4,0.5260885562747717
32,8,4,0.5522352736443281
32,4,4,0.5903020389378071
32,2,4,0.6679541524499655
32,1,4,0.7495115343481302
16,16384,4,0.17962534353137016
16,8192,4,0.18527968553826213
16,4096,4,0.1984175695106387
16,2048,4,0.22389364894479513
16,1024,4,0.26920193154364824
16,512,4,0.33256286941468716
16,256,4,0.39555632323026657
16,128,4,0.4384577013552189
16,64,4,0.46761495992541313
16,32,4,0.49566951021552086
16,16,4,0.5192767297849059
16,8,4,0.5457243788987398
16,4,4,0.6021795645356178
16,2,4,0.6604575868695974
16,1,4,0.7470011617988348
8,16384,4,0.16313861962407827
8,8192,4,0.16513364389538765
8,4096,4,0.16815532092005014
8,2048,4,0.17405786644667387
8,1024,4,0.19020316237583756
8,512,4,0.21241228189319372
8,256,4,0.25223002303391695
8,128,4,0.3121138382703066
8,64,4,0.39283106569200754
8,32,4,0.44738121051341295
8,16,4,0.5101726548746228
8,8,4,0.5501580238342285
8,4,4,0.6071296650916338
8,2,4,0.6477686651051044
8,1,4,0.7722901236265898
4,16384,4,0.08750240039080381
4,8192,4,0.09793043788522482
4,4096,4,0.11177497310563922
4,2048,4,0.12454170593991876
4,1024,4,0.135656020604074
4,512,4,0.14419279480352998
4,256,4,0.15873671742156148
4,128,4,0.18083081720396876
4,64,4,0.21363584697246552
4,32,4,0.2967899311333895
4,16,4,0.37356283236294985
4,8,4,0.5520008411258459
4,4,4,0.587299607694149
4,2,4,0.7147812340408564
4,1,4,0.847820732742548
64,16384,5,0.2760888673365116
64,8192,5,0.33693230897188187
64,4096,5,0.3963070921599865
64,2048,5,0.43884176574647427
64,1024,5,0.4673350537195802
64,512,5,0.4857792239636183
64,256,5,0.4943869411945343
64,128,5,0.5001714760437608
64,64,5,0.5074015203863382
64,32,5,0.5169920790940523
64,16,5,0.534676318988204
64,8,5,0.561153108254075
64,4,5,0.6105345170944929
64,2,5,0.6733957454562187
64,1,5,0.7596108354628086
32,16384,5,0.20207107486203313
32,8192,5,0.22641693614423275
32,4096,5,0.2703978521749377
32,2048,5,0.33229270204901695
32,1024,5,0.39400163292884827
32,512,5,0.4400350311771035
32,256,5,0.4710363391786814
32,128,5,0.49151974357664585
32,64,5,0.5013194978237152
32,32,5,0.5170728825032711
32,16,5,0.5355342272669077
32,8,5,0.5659854914993048
32,4,5,0.609962485730648
32,2,5,0.6624155975878239
32,1,5,0.7442921865731478
16,16384,5,0.17741984082385898
16,8192,5,0.18492899602279067
16,4096,5,0.19710395159199834
16,2048,5,0.22411825414747
16,1024,5,0.26337050227448344
16,512,5,0.32495874911546707
16,256,5,0.39591344352811575
16,128,5,0.4437656793743372
16,64,5,0.4801726518198848
16,32,5,0.5101058455184102
16,16,5,0.5314277671277523
16,8,5,0.5636016987264156
16,4,5,0.600907675921917
16,2,5,0.6525444090366364
16,1,5,0.7453578449785709
8,16384,5,0.16139133740216494
8,8192,5,0.16392933763563633
8,4096,5,0.16765363095328212
8,2048,5,0.17464529909193516
8,1024,5,0.18602078966796398
8,512,5,0.2120058024302125
8,256,5,0.25836725905537605
8,128,5,0.324935550801456
8,64,5,0.3814006205648184
8,32,5,0.45166821777820587
8,16,5,0.49480489641427994
8,8,5,0.5468371398746967
8,4,5,0.5690321531146765
8,2,5,0.6595570687204599
8,1,5,0.7507936283946037
4,16384,5,0.08700641174800694
4,8192,5,0.09837643802165985
4,4096,5,0.11294763116165996
4,2048,5,0.125707475701347
4,1024,5,0.13535631960257888
4,512,5,0.14542699232697487
4,256,5,0.15674581518396735
4,128,5,0.18019996862858534
4,64,5,0.2120989030227065
4,32,5,0.3055206034332514
4,16,5,0.3754061125218868
4,8,5,0.4363704174757004
4,4,5,0.5552491657435894
4,2,5,0.6349444035440683
4,1,5,0.7446894496679306
64,16384,6,0.2753587458282709
64,8192,6,0.336020584218204
64,4096,6,0.39824313670396805
64,2048,6,0.441102740354836
64,1024,6,0.46906300261616707
64,512,6,0.48159386310726404
64,256,6,0.4950312441214919
64,128,6,0.5018209023401141
64,64,6,0.5060501359403133
64,32,6,0.5167713314294815
64,16,6,0.526246665045619
64,8,6,0.5474283508956432
64,4,6,0.6006518360227346
64,2,6,0.6710488498210907
64,1,6,0.7503726854920387
32,16384,6,0.2048660945147276
32,8192,6,0.22928302455693483
32,4096,6,0.27558358386158943
32,2048,6,0.33671190589666367
32,1024,6,0.3974238531664014
32,512,6,0.43778823781758547
32,256,6,0.4693127069622278
32,128,6,0.4894164688885212
32,64,6,0.5021025948226452
32,32,6,0.5133134797215462
32,16,6,0.5207505999132991
32,8,6,0.5495760887861252
32,4,6,0.6095026899129152
32,2,6,0.6752612926065922
32,1,6,0.7525031957775354
16,16384,6,0.17846342828124762
16,8192,6,0.18459503632038832
16,4096,6,0.19795901980251074
16,2048,6,0.2239161911420524
16,1024,6,0.2634182539768517
16,512,6,0.33252307772636414
16,256,6,0.39912732504308224
16,128,6,0.4486867180094123
16,64,6,0.4724334552884102
16,32,6,0.48495019879192114
16,16,6,0.518677712418139
16,8,6,0.5614861398935318
16,4,6,0.6032705940306187
16,2,6,0.6888158246874809
16,1,6,0.7588332835584879
8,16384,6,0.1590000302530825
8,8192,6,0.16192520828917623
8,4096,6,0.1653993222862482
8,2048,6,0.1710677552036941
8,1024,6,0.1840314115397632
8,512,6,0.2107392679899931
8,256,6,0.24899959983304143
8,128,6,0.331977647729218
8,64,6,0.35810465924441814
8,32,6,0.4373128078877926
8,16,6,0.5000296263024211
8,8,6,0.5424292143434286
8,4,6,0.6089228168129921
8,2,6,0.7203298788517714
8,1,6,0.7426912114024162
4,16384,6,0.08903658809140325
4,8192,6,0.09912033146247268
4,4096,6,0.11322191078215837
4,2048,6,0.12625515018589795
4,1024,6,0.13603146420791745
4,512,6,0.14686742657795548
4,256,6,0.15988356666639447
